,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_BYTES,Clusters
773,1,3,2,136,1
774,2,1,1,36,1
775,15,22,0,43,4
776,39,22,0,13,4
777,7,6,0,49,1
778,11,3,0,32,1
779,0,3,2,136,1
780,0,3,2,136,1
781,0,1,2,112,1
782,3,7,0,37,1
783,62,25,0,3,4
784,14,22,0,42,4
785,0,3,2,680,1
786,1,3,2,200,1
787,5,22,0,92,4
788,0,2,1920,15360,1
789,1,1,1,12,1
790,3,2,0,474,1
791,2,1,0,6,1
792,1,1,1,12,1
793,4,22,0,170,4
794,1,2,1,376,1
795,14,21,0,43,4
796,3,5,0,74,1
797,0,3,2,136,1
798,7,2,0,332,1
799,12,22,0,61,4
800,4,2,0,194,1
801,0,1,1,12,1
802,11,2,0,286,1
803,1,3,2,112,1
804,0,3,0,0,1
805,0,1,2,32,1
806,2,2,960,7680,1
807,7,22,0,80,4
808,3,6,0,90,1
809,4,1,0,46,1
810,7,2,0,348,1
811,5,20,0,91,4
812,0,1,0,0,1
813,0,1,1920,15360,1
814,13,5,0,10,1
815,4,21,0,133,4
816,6,22,0,102,4
817,31,7,0,3,1
818,41,1,0,1,1
819,1,7,2,80,1
820,2,3,1,124,1
821,2,5,1,148,1
822,0,1,1,12,1
823,4,20,0,112,4
824,3,5,0,146,1
825,2,6,1,48,1
826,0,2,1,52,1
827,0,2,1,472,1
828,1,14,1,292,4
829,4,2,0,552,1
830,4,5,0,16,1
831,2,7,1,56,1
832,1,1,2,80,1
833,1,1,2,592,1
834,4,2,0,52,1
835,0,3,2,136,1
836,1,1,2,88,1
837,0,3,0,0,1
838,2,1,0,6,1
839,14,7,0,13,1
840,4,3,0,30,1
841,2,4,1,228,1
842,143,1,0,3,1
843,1,3,2,112,1
844,3,2,0,738,1
845,11,22,0,51,4
846,1,3,2,136,1
847,16,22,0,40,4
848,2,2,960,7680,1
849,2,4,1,204,1
850,2,10,0,108,1
851,5,22,0,124,4
852,0,3,2,136,1
853,1,3,2,136,1
854,4,14,0,84,4
855,0,1,2,32,1
856,1,1,2,32,1
857,3,22,0,206,4
858,0,3,2,176,1
859,1,2,2,152,1
860,26,21,0,25,4
861,3,22,0,286,4
862,1,1,2,112,1
863,0,2,1,376,1
864,5,5,0,19,1
865,5,2,0,40,1
866,6,1,320,2560,1
867,6,3,0,18,1
868,4,2,0,922,1
869,5,21,0,117,4
870,6,10,0,14,1
871,1,1,2,264,1
872,0,3,0,0,1
873,5,3,0,40,1
874,2,2,0,1404,1
875,4,1,0,26,1
876,15,21,0,36,4
877,1,1,1,12,1
878,1,1,2,72,1
879,7,22,0,65,4
880,7,2,0,269,1
881,0,3,2,136,1
882,5,22,0,92,4
883,0,5,2,248,1
884,7,2,0,304,1
885,0,1,1,12,1
886,7,7,0,16,1
887,231,22,0,2,4
888,2,2,0,1352,1
889,0,1,1,12,1
890,0,1,1,12,1
891,3,2,0,653,1
892,2,2,0,870,1
893,5,2,0,192,1
894,379,1,0,0,1
895,1,1,1,12,1
896,1,2,1920,15360,1
897,30,22,0,15,4
898,2,17,1,156,4
899,10,21,0,54,4
900,4,2,0,128,1
901,18,6,0,8,1
902,1,2,2,144,1
903,1,3,2,104,1
904,17,1,0,8,1
905,0,1,1,12,1
906,3,2,0,117,1
907,14,6,0,28,1
908,3,5,0,53,1
909,2,14,0,150,4
910,1,3,2,112,1
911,42,22,0,10,4
912,21,2,0,6,1
913,7,22,0,96,4
914,1,3,2,136,1
915,4,2,0,137,1
916,3,9,0,76,1
917,1,3,2,104,1
918,8,22,0,87,4
919,2,3,1,84,1
920,0,6,1,112,1
921,5,11,0,27,1
922,2,1,1,248,1
923,1,3,2,136,1
